                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.80877,                0.76385,                 1.0717,                0.79106,                0.84803,                0.85725,                0.68235,                0.75682,                0.69311,                 1.0203,              0.0011461,              0.0011461,              0.0011461
                     62,                0.82154,                0.76532,                 1.0785,                0.76637,                0.85692,                0.83176,                0.66947,                0.76477,                0.70625,                 1.0214,              0.0011413,              0.0011413,              0.0011413
                     63,                0.79943,                0.74952,                 1.0535,                0.75747,                0.87641,                0.85023,                0.67625,                 0.7636,                0.70814,                 1.0135,              0.0011366,              0.0011366,              0.0011366
                     64,                 0.8035,                0.77187,                  1.068,                0.73574,                0.88166,                0.84088,                0.67342,                0.75794,                0.71207,                 1.0255,              0.0011319,              0.0011319,              0.0011319
                     65,                 0.7671,                0.71923,                 1.0547,                0.77243,                0.82844,                0.82525,                 0.6648,                 0.7487,                0.71964,                 1.0179,              0.0011272,              0.0011272,              0.0011272
                     66,                0.77291,                0.72664,                 1.0513,                0.76874,                0.87394,                0.84817,                0.67923,                0.75555,                0.68511,                 1.0136,              0.0011225,              0.0011225,              0.0011225
                     67,                 0.7596,                 0.7304,                 1.0514,                0.76278,                0.83686,                 0.8491,                0.68132,                0.75619,                0.71203,                  1.026,              0.0011178,              0.0011178,              0.0011178
                     68,                0.77603,                0.73745,                 1.0668,                0.74316,                0.84207,                 0.8429,                0.67889,                0.75682,                0.72858,                 1.0209,               0.001113,               0.001113,               0.001113
                     69,                0.78696,                0.72515,                 1.0516,                0.74982,                0.85838,                0.84331,                0.67746,                0.75012,                 0.7265,                 1.0178,              0.0011083,              0.0011083,              0.0011083
                     70,                0.77622,                0.73698,                 1.0623,                0.76359,                0.87974,                0.84769,                0.67736,                0.75734,                0.69739,                 1.0252,              0.0011036,              0.0011036,              0.0011036
                     71,                0.75451,                0.72062,                 1.0434,                0.77687,                0.88767,                0.84476,                0.67899,                  0.764,                0.71307,                 1.0219,              0.0010989,              0.0010989,              0.0010989
                     72,                0.77973,                0.73078,                 1.0607,                0.74559,                0.85635,                0.85608,                0.68918,                0.74588,                0.72462,                 1.0182,              0.0010942,              0.0010942,              0.0010942
                     73,                0.75843,                0.70887,                 1.0505,                0.74479,                0.85697,                 0.8519,                0.68187,                0.76051,                0.69513,                 1.0195,              0.0010895,              0.0010895,              0.0010895
                     74,                0.75291,                0.70003,                 1.0429,                 0.7361,                 0.8639,                0.84774,                0.67652,                0.76441,                  0.722,                 1.0155,              0.0010848,              0.0010848,              0.0010848
                     75,                0.76339,                0.70029,                   1.04,                0.77761,                0.87356,                0.85237,                 0.6875,                0.73995,                0.71238,                 1.0187,                0.00108,                0.00108,                0.00108
                     76,                0.76084,                0.69438,                 1.0466,                0.75275,                0.88803,                0.84177,                0.68534,                0.75061,                0.68264,                 1.0177,              0.0010753,              0.0010753,              0.0010753
                     77,                 0.7669,                0.69269,                 1.0414,                0.75589,                0.83742,                0.85097,                0.68389,                0.73025,                0.70608,                 1.0078,              0.0010706,              0.0010706,              0.0010706
                     78,                0.76493,                0.70073,                 1.0436,                0.73055,                0.90092,                0.85269,                0.68626,                0.73121,                0.69821,                 1.0072,              0.0010659,              0.0010659,              0.0010659
                     79,                0.75703,                0.69808,                 1.0404,                0.77045,                 0.8589,                0.84458,                0.68383,                0.74073,                0.69412,                 1.0161,              0.0010612,              0.0010612,              0.0010612
                     80,                0.76048,                0.68997,                 1.0444,                0.75559,                0.87312,                0.85761,                0.69481,                0.74078,                0.69247,                 1.0142,              0.0010565,              0.0010565,              0.0010565
                     81,                0.73564,                0.67637,                 1.0366,                0.74184,                0.86872,                0.83875,                 0.6789,                0.75424,                0.71147,                 1.0196,              0.0010517,              0.0010517,              0.0010517
                     82,                0.74154,                0.65413,                 1.0317,                0.75591,                0.85514,                0.85479,                0.69136,                0.75203,                0.69931,                  1.028,               0.001047,               0.001047,               0.001047
                     83,                0.74197,                0.68212,                 1.0364,                0.78914,                0.82116,                0.85576,                 0.6885,                0.74866,                0.69094,                 1.0225,              0.0010423,              0.0010423,              0.0010423
                     84,                  0.738,                 0.6697,                 1.0459,                0.75194,                 0.8677,                0.85423,                 0.6966,                0.74128,                0.67737,                 1.0163,              0.0010376,              0.0010376,              0.0010376
                     85,                0.75071,                 0.6989,                  1.042,                0.76005,                0.88049,                 0.8527,                0.68879,                0.73687,                0.69806,                  1.017,              0.0010329,              0.0010329,              0.0010329
                     86,                 0.7224,                0.66526,                 1.0353,                 0.7543,                0.86157,                0.83414,                0.67462,                0.74109,                0.72065,                 1.0176,              0.0010282,              0.0010282,              0.0010282
                     87,                0.74748,                 0.6885,                 1.0364,                0.77877,                0.86352,                0.84486,                0.67794,                0.74585,                0.67951,                 1.0115,              0.0010234,              0.0010234,              0.0010234
                     88,                0.72247,                0.65738,                 1.0391,                 0.7622,                0.85592,                0.85511,                0.69567,                0.73426,                0.70113,                 1.0117,              0.0010187,              0.0010187,              0.0010187
                     89,                0.72601,                0.65099,                 1.0249,                0.75608,                 0.8723,                0.84595,                0.69209,                 0.7294,                0.67974,                  1.008,               0.001014,               0.001014,               0.001014
                     90,                0.74265,                0.68562,                 1.0372,                0.75339,                0.85514,                0.84034,                0.68465,                0.72994,                0.69359,                 1.0067,              0.0010093,              0.0010093,              0.0010093
                     91,                 0.7358,                0.66412,                  1.024,                0.78633,                0.81241,                0.83996,                0.68282,                 0.7519,                0.69622,                   1.02,              0.0010046,              0.0010046,              0.0010046
                     92,                 0.7382,                0.65855,                 1.0286,                0.74572,                0.88146,                0.84035,                0.68254,                0.72439,                 0.6836,                 1.0017,             0.00099987,             0.00099987,             0.00099987
                     93,                0.73194,                0.65229,                 1.0307,                 0.7737,                0.85175,                0.85083,                0.69519,                0.73178,                0.70352,                 1.0135,             0.00099516,             0.00099516,             0.00099516
                     94,                0.71473,                0.65017,                 1.0224,                0.79561,                0.81723,                 0.8541,                 0.6886,                0.73492,                0.68825,                  1.015,             0.00099044,             0.00099044,             0.00099044
                     95,                0.72248,                0.65235,                 1.0252,                0.75397,                0.86045,                0.83361,                 0.6846,                0.71127,                0.68131,                0.99651,             0.00098572,             0.00098572,             0.00098572
                     96,                0.72848,                0.65375,                 1.0307,                0.73002,                0.89052,                0.84572,                0.69465,                0.72511,                0.67759,                 1.0073,             0.00098101,             0.00098101,             0.00098101
                     97,                0.72713,                0.63592,                 1.0209,                0.76548,                0.82066,                 0.8419,                 0.6913,                0.71417,                0.70437,                 1.0038,             0.00097629,             0.00097629,             0.00097629
                     98,                0.73983,                0.63872,                 1.0335,                0.75982,                0.84044,                0.83777,                0.68608,                 0.7261,                 0.6776,                 1.0028,             0.00097158,             0.00097158,             0.00097158
                     99,                0.71639,                0.65644,                 1.0239,                0.76915,                0.85034,                0.84844,                0.69561,                0.72903,                0.66999,                 1.0157,             0.00096686,             0.00096686,             0.00096686
                    100,                0.71605,                0.63845,                 1.0323,                0.75373,                0.85772,                0.84977,                0.68948,                0.72565,                0.66534,                 1.0119,             0.00096215,             0.00096215,             0.00096215
                    101,                0.70521,                0.63496,                 1.0205,                0.76075,                 0.8646,                 0.8498,                0.68933,                0.73757,                0.67841,                 1.0182,             0.00095743,             0.00095743,             0.00095743
                    102,                 0.7091,                 0.6323,                 1.0209,                0.76663,                0.85431,                0.83386,                0.68705,                0.71639,                0.69735,                 1.0055,             0.00095271,             0.00095271,             0.00095271
                    103,                0.71189,                0.63531,                 1.0256,                0.75642,                0.86727,                0.84825,                 0.6995,                0.70546,                0.67678,                0.98785,               0.000948,               0.000948,               0.000948
                    104,                0.70956,                0.64747,                  1.021,                0.79642,                0.84225,                0.85333,                0.69749,                0.71579,                0.66276,                0.98839,             0.00094328,             0.00094328,             0.00094328
                    105,                0.69485,                0.61568,                 1.0203,                0.76224,                0.86426,                0.84367,                0.69127,                0.71923,                0.67276,                 1.0028,             0.00093857,             0.00093857,             0.00093857
                    106,                0.69789,                0.62529,                 1.0131,                0.76196,                0.84391,                0.84539,                0.69003,                0.71011,                0.68933,                  1.009,             0.00093385,             0.00093385,             0.00093385
                    107,                0.71041,                0.62445,                 1.0137,                0.75828,                0.86954,                0.84529,                0.68332,                0.72084,                0.67447,                 1.0062,             0.00092914,             0.00092914,             0.00092914
                    108,                0.69799,                0.61439,                 1.0157,                0.82216,                0.79582,                0.86008,                0.70702,                0.72207,                0.68026,                 1.0008,             0.00092442,             0.00092442,             0.00092442
                    109,                0.71583,                0.61881,                 1.0257,                0.79732,                0.82706,                0.84098,                0.68586,                0.72837,                0.69689,                  1.018,              0.0009197,              0.0009197,              0.0009197
                    110,                0.70588,                0.62442,                 1.0175,                 0.7935,                0.84959,                0.85633,                0.69914,                0.71754,                0.67948,                0.99995,             0.00091499,             0.00091499,             0.00091499
                    111,                0.70176,                0.61852,                 1.0126,                0.73911,                0.87341,                0.84329,                0.69113,                0.72221,                0.69852,                0.99574,             0.00091027,             0.00091027,             0.00091027
                    112,                0.66884,                0.61077,                 1.0071,                0.77041,                0.85568,                0.84381,                0.68887,                0.72628,                0.69168,                 1.0094,             0.00090556,             0.00090556,             0.00090556
                    113,                0.68933,                0.61603,                 1.0152,                0.77063,                0.86423,                0.85177,                0.69487,                0.72664,                0.65974,                 1.0072,             0.00090084,             0.00090084,             0.00090084
                    114,                0.69171,                0.60177,                 1.0071,                0.76557,                0.83865,                0.83149,                0.68356,                0.70306,                0.69027,                0.98883,             0.00089613,             0.00089613,             0.00089613
                    115,                0.69517,                0.59744,                 1.0189,                0.74611,                0.86707,                0.84342,                0.69186,                0.71477,                0.67374,                 0.9944,             0.00089141,             0.00089141,             0.00089141
                    116,                0.70721,                0.60829,                  1.012,                0.75762,                0.84628,                 0.8326,                0.67845,                0.72468,                0.69068,                0.99633,             0.00088669,             0.00088669,             0.00088669
                    117,                0.67855,                0.60713,                 1.0012,                0.76841,                0.82953,                0.83052,                0.68101,                0.70903,                0.68329,                0.99158,             0.00088198,             0.00088198,             0.00088198
                    118,                0.66346,                0.59597,                0.99935,                0.78143,                0.85592,                0.84397,                0.68973,                0.71868,                0.68978,                 1.0007,             0.00087726,             0.00087726,             0.00087726
                    119,                0.67519,                 0.5918,                 1.0099,                0.74547,                0.86839,                0.84224,                 0.6802,                0.73496,                0.71747,                0.99308,             0.00087255,             0.00087255,             0.00087255
                    120,                 0.6911,                0.60855,                 1.0148,                0.77685,                0.82678,                0.83198,                0.67787,                0.72629,                0.68626,                 1.0001,             0.00086783,             0.00086783,             0.00086783
                    121,                0.68298,                0.59915,                 1.0049,                0.75793,                0.89644,                0.85169,                0.69674,                0.71747,                0.66086,                0.99523,             0.00086312,             0.00086312,             0.00086312
                    122,                0.70205,                0.60568,                 1.0034,                0.78036,                0.85308,                0.85373,                0.69664,                0.71386,                0.68445,                0.99632,              0.0008584,              0.0008584,              0.0008584
                    123,                0.67554,                0.60322,                 1.0055,                0.76121,                0.85895,                0.83675,                 0.6851,                0.70809,                0.68207,                0.99372,             0.00085368,             0.00085368,             0.00085368
                    124,                0.67723,                0.58725,                0.99818,                0.73444,                0.86815,                0.84947,                0.70028,                0.69705,                0.69905,                0.99385,             0.00084897,             0.00084897,             0.00084897
                    125,                0.66638,                0.58387,                0.99783,                0.80153,                0.86014,                0.85202,                0.70212,                 0.7111,                0.68452,                  1.002,             0.00084425,             0.00084425,             0.00084425
                    126,                 0.6922,                0.58881,                 1.0094,                0.80179,                0.82432,                0.84028,                0.68741,                0.71704,                0.70885,                   1.01,             0.00083954,             0.00083954,             0.00083954
                    127,                0.67642,                0.58708,                0.99308,                0.78458,                0.82046,                  0.841,                0.69073,                0.70873,                0.72854,                0.99955,             0.00083482,             0.00083482,             0.00083482
                    128,                0.66179,                0.57401,                0.99585,                0.76548,                0.83615,                0.83879,                0.68893,                0.71917,                0.71334,                0.99262,             0.00083011,             0.00083011,             0.00083011
                    129,                0.66624,                0.57811,                 1.0014,                0.75366,                0.84361,                0.84197,                0.68682,                0.73342,                0.71502,                 1.0057,             0.00082539,             0.00082539,             0.00082539
