                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.98137,                0.59057,                 1.0259,                0.93989,                0.87566,                0.91476,                0.69019,                0.95426,                0.66932,                 1.0168,              0.0010894,              0.0010894,              0.0010894
                     72,                0.97746,                0.59703,                 1.0295,                0.91927,                 0.8622,                0.89715,                0.66242,                0.93729,                0.69855,                 1.0052,              0.0010811,              0.0010811,              0.0010811
                     73,                0.98222,                  0.598,                 1.0401,                0.91189,                0.89709,                0.90952,                0.66663,                 0.9035,                0.64103,                0.98808,              0.0010729,              0.0010729,              0.0010729
                     74,                0.96996,                 0.5988,                 1.0338,                0.95233,                0.86583,                0.91942,                0.66173,                0.95943,                0.67501,                 1.0002,              0.0010646,              0.0010646,              0.0010646
                     75,                0.96309,                0.59504,                  1.031,                0.94398,                0.88352,                0.91933,                0.68504,                0.92696,                0.64569,                0.99352,              0.0010564,              0.0010564,              0.0010564
                     76,                0.99596,                0.58447,                 1.0432,                0.92407,                0.89802,                0.91401,                0.67447,                 0.9413,                0.65955,                0.99247,              0.0010481,              0.0010481,              0.0010481
                     77,                0.94691,                0.57212,                 1.0182,                0.94581,                 0.8828,                0.92535,                0.68726,                0.91062,                 0.6469,                0.98761,              0.0010399,              0.0010399,              0.0010399
                     78,                0.96687,                0.60405,                 1.0391,                0.94045,                 0.8826,                 0.9142,                0.67085,                0.95164,                0.68016,                 1.0085,              0.0010316,              0.0010316,              0.0010316
                     79,                0.97331,                0.58561,                 1.0379,                0.94773,                 0.8836,                0.91297,                0.66919,                0.95524,                0.67674,                 1.0044,              0.0010234,              0.0010234,              0.0010234
                     80,                0.96003,                0.57766,                 1.0324,                0.94672,                 0.8869,                0.91652,                0.67636,                0.95707,                0.64522,                 1.0164,              0.0010151,              0.0010151,              0.0010151
                     81,                0.94207,                0.56478,                 1.0166,                0.94621,                0.87302,                0.90947,                 0.6734,                0.93219,                0.68543,                0.99592,              0.0010069,              0.0010069,              0.0010069
                     82,                 0.9539,                0.57638,                 1.0314,                0.93788,                0.83632,                0.90018,                 0.6557,                0.97339,                0.70816,                 1.0145,             0.00099862,             0.00099862,             0.00099862
